entity
stat_home_runs
stat_batting_average
stat_RBIs
stat_strikeouts
stat_hits
stat_ERA
stat_runs
stat_on_base_percentage
stat_doubles
stat_slugging_percentage
stat_games_won
stat_stolen_bases
stat_saves
stat_hitting_streak
stat_triples
stat_walks
stat_shutouts
stat_runs_allowed
scope_season
scope_team
scope_playoffs
scope_2023_season
scope_year
game_last
game_last_night
game_yesterday
player_<player_name>
period_last_week
period_last_month
period_April
performance_metric_hitter
event_game_winning_run
